deal_id,cik,company_name,sic,first_filed,last_filed,filings,n_filings,outcome
167,0001040570,"GeoEye, Inc.",4899,2010-07-01,2010-07-15,"S-4,S-4/A",2,likely_not_completed
168,0001040570,"GeoEye, Inc.",4899,2012-07-23,2013-01-09,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",27,likely_completed
169,0001042642,DISH DBS CORP,4899,1997-07-23,1997-10-03,"S-4,S-4/A,S-4/A",3,likely_not_completed
170,0001042642,DISH DBS CORP,4899,1999-01-28,1999-07-21,"S-4,S-4/A,S-4/A,S-4/A,S-4/A,S-4/A",6,likely_not_completed
171,0001042642,DISH DBS CORP,4899,2002-06-26,2002-09-27,"S-4,S-4,S-4/A,S-4/A",4,likely_not_completed
172,0001042642,DISH DBS CORP,4899,2004-03-30,2005-04-01,"S-4,S-4/A,S-4,S-4/A",4,likely_not_completed
173,0001042642,DISH DBS CORP,4899,2006-08-14,2006-11-13,"S-4,S-4/A,S-4,S-4/A",4,likely_not_completed
174,0001042642,DISH DBS CORP,4899,2008-06-03,2008-06-11,"S-4,S-4/A",2,likely_not_completed
175,0001042642,DISH DBS CORP,4899,2009-08-21,2009-11-17,"S-4,S-4",2,likely_not_completed
176,0001042642,DISH DBS CORP,4899,2011-07-01,2013-07-19,"S-4,S-4/A,S-4,S-4/A,S-4,S-4/A,S-4",7,likely_not_completed
177,0001042642,DISH DBS CORP,4899,2014-12-18,2014-12-18,S-4,1,likely_not_completed
178,0001042642,DISH DBS CORP,4899,2016-08-26,2016-08-26,S-4,1,likely_not_completed
179,0001042642,DISH DBS CORP,4899,2020-08-19,2021-07-23,"S-4,S-4,S-4/A,S-4/A",4,likely_not_completed
180,0001043533,ABOVENET INC,4899,1999-01-25,1999-08-05,"S-4,S-4/A,S-4/A,S-4",4,likely_completed
181,0001043533,ABOVENET INC,4899,2000-10-10,2001-01-26,"425,425,S-4,S-4/A,S-4/A",5,likely_not_completed
182,0001043533,ABOVENET INC,4899,2012-07-12,2012-07-12,S-4,1,likely_completed
183,0001044314,JORDAN TELECOMMUNICATION PRODUCTS INC,3669,1997-08-29,1997-11-04,"S-4,S-4/A,S-4/A",3,likely_not_completed
184,0001044660,MMC NETWORKS INC,3577,2000-08-28,2000-10-11,"425,425",2,likely_completed
185,0001048982,ARTISAN COMPONENTS INC,3674,2004-08-23,2004-12-23,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",16,likely_completed
186,0001052196,DSET CORP,7371,2001-06-27,2002-01-31,"425,425,425,S-4,425,425,425,425,S-4/A,425,425,425,425,425,425,S-4/A,425,S-4/A,425,S-4/A,425,S-4/A,425,425,425,425,425,425",28,likely_completed
187,0001052327,CLICK2LEARN INC/DE/,7371,2003-10-21,2004-03-18,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",16,likely_completed
188,0001052946,FWT INC,3663,1998-01-15,1998-03-13,"S-4,S-4/A,S-4/A,S-4/A",4,likely_not_completed
189,0001054374,BROADCOM CORP,3674,2011-07-25,2011-08-18,"S-4,S-4/A",2,likely_not_completed
190,0001054374,BROADCOM CORP,3674,2013-03-29,2013-04-05,"S-4,S-4/A",2,likely_not_completed
191,0001054374,BROADCOM CORP,3674,2015-05-28,2016-01-26,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",35,likely_completed
192,0001054374,BROADCOM CORP,3674,2017-12-21,2017-12-21,S-4,1,likely_not_completed
193,0001054374,BROADCOM CORP,3674,2020-06-26,2020-06-26,S-4,1,likely_not_completed
194,0001056751,21ST CENTURY TELECOM GROUP INC,4899,1998-03-03,1998-05-14,"S-4,S-4/A,S-4/A,S-4/A,S-4/A",5,likely_not_completed
195,0001056794,AVANEX CORP,3674,2002-03-19,2002-08-13,"425,425,S-4,425,425,425,425,425,S-4/A,425,425,425,S-4/A,S-4/A,S-4/A,S-4/A,425,425,425,425,425,425,425,425,425,425,425,425,425,425",30,likely_not_completed
196,0001056794,AVANEX CORP,3674,2009-01-27,2009-04-22,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",22,likely_completed
197,0001057207,IVI CHECKMATE CORP,3577,1998-05-26,1998-05-26,S-4,1,likely_not_completed
198,0001057207,IVI CHECKMATE CORP,3577,1999-07-26,2000-05-03,"S-4,S-4/A,S-4/A,S-4/A,S-4/A,S-4/A",6,likely_completed
199,0001057257,DIGITAL FUSION INC/NJ/,7370,2000-07-31,2000-11-13,"425,425,425,425,425,425,425,425",8,likely_not_completed
200,0001057997,ARM HOLDINGS PLC,3674,2004-08-23,2004-12-23,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",16,likely_not_completed
201,0001059161,HYGIENETICS ENVIRONMENTAL SERVICES INC,3663,1999-01-07,1999-01-20,"S-4,S-4/A",2,likely_not_completed
202,0001059161,HYGIENETICS ENVIRONMENTAL SERVICES INC,3663,2002-09-18,2005-11-23,"S-4,S-4,S-4,S-4,S-4",5,likely_not_completed
203,0001060824,COSINE COMMUNICATIONS INC,3576,2005-01-10,2005-04-28,"425,425,425,425,425,425,425,425,425,425,425",11,likely_not_completed
204,0001063880,CAPROCK COMMUNICATIONS CORP,4899,1998-06-22,1999-07-30,"S-4,S-4/A,S-4/A,S-4,S-4/A,S-4,S-4/A",7,likely_completed
205,0001063880,CAPROCK COMMUNICATIONS CORP,4899,2000-10-03,2000-11-03,"425,425,425,425,425",5,likely_completed
206,0001068343,AZTEK INC,7371,1998-08-20,1999-08-13,"S-4,S-4/A,S-4/A,S-4/A,S-4/A,S-4/A,S-4/A",7,likely_not_completed
207,0001068885,NETSILICON INC,3577,2001-10-30,2002-02-04,"425,425,425,425,425,425,425,425,425,425,425,425,425,425",14,likely_completed
208,0001072881,DAVEL COMMUNICATIONS INC,4899,1998-11-20,1998-11-20,S-4,1,likely_not_completed
209,0001072881,DAVEL COMMUNICATIONS INC,4899,2002-02-21,2002-07-11,"425,425,S-4,425,425,S-4/A,425",7,likely_not_completed
210,0001075314,"ABOUT, INC.",7370,2000-10-30,2001-01-08,"425,425,425,425,425,425",6,likely_completed
211,0001075314,"ABOUT, INC.",7370,2013-05-03,2014-01-24,"S-4,S-4/A,S-4,S-4/A",4,likely_not_completed
212,0001075656,"iGo, Inc.",3577,2002-05-13,2002-08-07,"S-4,S-4/A,425",3,likely_not_completed
